GEOID,area_total,area_protected
300890002004,1217682584.6035235,1217682584.6035235
300310009001,461523.55965045094,461523.55965045094
300399617001,653549665.8796347,653549665.8796347
301110009011,721461.5995322913,721461.5995322913
301110017032,640133.4839957654,640133.4839957654
300930005004,396900.1539062634,396900.1539062634
300410404003,1168498.4256766737,1168498.4256766737
301110005003,653247.9850060046,653247.9850060046
300490011002,951704.1756101251,951704.1756101251
300010001001,4309450412.08311,4309450412.08311
300530005003,614327817.774865,614327817.774865
300450001001,3222293551.617106,3222293551.617106
300530001001,2163898440.8734975,2163898440.8734975
300710602003,8257788642.015052,8257788642.015052
300490011004,14447466.235558134,14447466.235558134
300179616003,4641193.42129755,4641193.42129755
300210001001,3128052044.8531647,3128052044.8531647
301110003002,542816.3648487777,542816.3648487777
300130009002,396164.5354539752,396164.5354539752
300230004003,276711.4398014024,276711.4398014024
300070002001,1519877852.1624207,1519877852.1624207
300890001001,1754092923.3886564,1754092923.3886564
300490011001,746868.8843112886,746868.8843112886
300310011022,368092.75142621115,368092.75142621115
300130012001,1084193.3045674711,1084193.3045674711
300150102001,2802860097.1536837,2802860097.1536837
300130104002,2004362038.3212354,2004362038.3212354
300630012002,660274.2719974145,660274.2719974145
301110007052,841818.9644213319,841818.9644213319
300410402001,2287018900.6985507,2287018900.6985507
300050002001,5543375815.426755,5543375815.426755
301110012002,941810.0798155963,941810.0798155963
300410401002,2079694541.3934345,2079694541.3934345
300879404002,712966153.4727535,712966153.4727535
300770002002,752757.1302198097,752757.1302198097
300130010003,336691.857653711,336691.857653711
300630013041,1858619.6297050267,1858619.6297050267
301010002004,1860257.6754119769,1860257.6754119769
300890001002,565880041.6942307,565880041.6942307
300710602004,5221361262.572571,5221361262.572571
300230005002,1257367901.1431928,1257367901.1431928
300650001003,1430889169.2577908,1430889169.2577908
300570002001,1266360011.9666326,1266360011.9666326
300310011012,312401.4144027531,312401.4144027531
300050002002,2468001.2919316776,2468001.2919316776
300930002002,188842.41506016254,188842.41506016254
300130011003,592407.8355062455,592407.8355062455
300619646001,1156782247.4601226,1156782247.4601226
301110009022,765653.1464384794,765653.1464384794
300130010002,828388.5408251286,828388.5408251286
300670001002,1106291298.7007241,1106291298.7007241
300930005001,403206.36390809715,403206.36390809715
300810006003,686392166.9392195,686392166.9392195
300070002002,1659932777.1478014,1659932777.1478014
300310003001,745507348.1465032,745507348.1465032
300059402001,804473763.1991012,804473763.1991012
300150103002,3861319057.741883,3861319057.741883
300630009021,1120708302.0519722,1120708302.0519722
301110013004,1061807.815842986,1061807.815842986
300050001001,3112287202.8871536,3112287202.8871536
300530004003,1392294219.3203142,1392294219.3203142
300130106001,1577103378.9156141,1577103378.9156141
300310008001,468307.9906961918,468307.9906961918
300130108002,394535.92526459694,394535.92526459694
300130108001,1236907.8320465013,1236907.8320465013
301110017022,567700.5837284178,567700.5837284178
300179620001,1090688.7109341137,1090688.7109341137
300570002003,1205284629.1829455,1205284629.1829455
300930002001,200642.48782066815,200642.48782066815
301110004023,1039330.9451581053,1039330.9451581053
300130010001,577090.4765997678,577090.4765997678
300570003001,2893718729.5069814,2893718729.5069814
300739772001,662685993.2943393,662685993.2943393
301059406002,2915861597.510538,2915861597.510538
300750001002,251973940.39577317,251973940.39577317
300130007001,383566.40791144967,383566.40791144967
300410402002,885157580.6901481,885157580.6901481
300310001022,999049989.3370016,999049989.3370016
300490001001,1697151345.8044786,1697151345.8044786
300690001001,4331162338.4169445,4331162338.4169445
300830704003,4658365.219334722,4658365.219334722
301110019014,742205.913152799,742205.913152799
300179620002,471064.7140493393,471064.7140493393
300859400014,5729467.400574163,5729467.400574163
300930003003,438327.0475080833,438327.0475080833
300890002001,915736173.0310918,915736173.0310918
300179618001,401642.93979837,401642.93979837
300179613001,6319825975.008417,6319825975.008417
300090005001,2412418662.194509,2412418662.194509
300130016005,390237.48951234645,390237.48951234645
300990001001,1203191126.231105,1203191126.231105
300990003003,34951039.832386434,34951039.832386434
300979670005,5383019.753093483,5383019.753093483
300230005003,51058823.56692129,51058823.56692129
300010002001,3087732627.5798974,3087732627.5798974
300530002002,863958.7703370061,863958.7703370061
300530005001,2077219151.3522363,2077219151.3522363
300530004001,817039373.053159,817039373.053159
300399617002,3814248934.1208615,3814248934.1208615
300619645002,758256169.5559807,758256169.5559807
300619646002,486270384.300609,486270384.300609
300930008005,1095777247.7525725,1095777247.7525725
300930005005,367724.2167958617,367724.2167958617
300930001006,393132.555355642,393132.555355642
300930005006,442984.8961000433,442984.8961000433
300930006002,507064.59720365703,507064.59720365703
300930007003,1824984.469942987,1824984.469942987
300130017002,1813977.0202562362,1813977.0202562362
300130003003,316194.79052055255,316194.79052055255
300130004002,324131.637372531,324131.637372531
300130009003,396000.94661682844,396000.94661682844
300570003002,9713434.744737238,9713434.744737238
300310005022,38007090.613414526,38007090.613414526
300310007022,1450644.7666743696,1450644.7666743696
300310005032,7525562.083815247,7525562.083815247
300310015001,2046893.105818484,2046893.105818484
300310001032,1364103.9153098166,1364103.9153098166
300310001021,702451599.6849438,702451599.6849438
300039407001,2924961923.5548673,2924961923.5548673
300130101003,741827911.7674916,741827911.7674916
300130106004,1208299613.7175684,1208299613.7175684
300130001001,949024.3400111794,949024.3400111794
300130018001,2338426.2091308236,2338426.2091308236
300810005002,412766602.0761703,412766602.0761703
300630001001,5714600.041484177,5714600.041484177
300630004001,791760.6260674022,791760.6260674022
300630013024,817129.9637873769,817129.9637873769
300630003002,811895.0688463598,811895.0688463598
300630016004,522331415.8921662,522331415.8921662
300490006001,298106737.50839233,298106737.50839233
300490005012,7475502.258816451,7475502.258816451
300490012012,3915227.3880169094,3915227.3880169094
300490009004,1171644.1944849808,1171644.1944849808
300930004003,674607.930312559,674607.930312559
300899403001,1359333788.0042453,1359333788.0042453
300479403013,6960502.405426353,6960502.405426353
301110006001,970598.3661264777,970598.3661264777
301110017023,2740785.0097242594,2740785.0097242594
301110017033,648106.4405077696,648106.4405077696
301110018021,591540.2252206504,591540.2252206504
300290013011,16596972.308974177,16596972.308974177
300290002033,850439.9629749358,850439.9629749358
300290011004,433860.22259654105,433860.22259654105
300290001003,4776330871.852378,4776330871.852378
300290001002,4574023955.136519,4574023955.136519
300290017001,1713792975.938293,1713792975.938293
300590001002,5808104629.916926,5808104629.916926
300490007002,487716.92458776385,487716.92458776385
300490007003,521308.46186983585,521308.46186983585
300490010003,434688.467230089,434688.467230089
300490003001,1192641002.5220392,1192641002.5220392
300810005004,685318.7845492736,685318.7845492736
300810006002,1575897.6070337296,1575897.6070337296
300810008002,936990497.6961968,936990497.6961968
300070001001,14220476.62274161,14220476.62274161
300770002005,908983712.060209,908983712.060209
300770001001,3909704232.1246514,3909704232.1246514
300570001001,2630741996.0532165,2630741996.0532165
300570001002,1065334374.920695,1065334374.920695
300870001001,6962719844.968481,6962719844.968481
300359404003,979446300.0383724,979446300.0383724
300359402004,2936119.4851722866,2936119.4851722866
300739770001,7474998.546049058,7474998.546049058
300870002002,2285399293.5314245,2285399293.5314245
300670005002,1890321984.3668234,1890321984.3668234
300670002001,548179723.2317528,548179723.2317528
300670002003,1458154833.9249547,1458154833.9249547
300670004005,500560.81984291226,500560.81984291226
300210002004,476270.94307124615,476270.94307124615
300830703002,3229429.6352204084,3229429.6352204084
300830704002,646393.0264865756,646393.0264865756
301110002002,599611.3203216568,599611.3203216568
301110007023,5249936.325622,5249936.325622
301110009012,1464626.5900155902,1464626.5900155902
301110018031,2015780.0018972456,2015780.0018972456
301110005002,338715.13093435764,338715.13093435764
301110007063,1038607.7410037816,1038607.7410037816
301110010003,375051.77097696066,375051.77097696066
301110011004,747237.8099171519,747237.8099171519
301110013001,1199939.2193502933,1199939.2193502933
301110015021,2864753169.767002,2864753169.767002
301110019012,1317222.4472128153,1317222.4472128153
300290008001,20017983.226330165,20017983.226330165
300290011003,704220.7846517861,704220.7846517861
300290007004,1097120.5209124796,1097120.5209124796
300290017005,272801561.47475475,272801561.47475475
300479403031,245673137.82164365,245673137.82164365
300479406002,4220548.030507769,4220548.030507769
300630002021,9910424.951710775,9910424.951710775
300630007001,835389.6311102323,835389.6311102323
300630001004,512905.1375390552,512905.1375390552
300630002014,596618.59477235,596618.59477235
300630010001,845503.6313933656,845503.6313933656
300630011002,660822.3885100111,660822.3885100111
300630011001,364405.56465494074,364405.56465494074
300630012001,619052.160904631,619052.160904631
300630018001,1108535636.999273,1108535636.999273
300310008003,328470.05439426005,328470.05439426005
300359404002,457414911.57353836,457414911.57353836
301110007012,1688907.2430408993,1688907.2430408993
300310007011,961561.5331171975,961561.5331171975
300739772002,1673139261.9073899,1673139261.9073899
300270301001,3124774288.5789375,3124774288.5789375
300270301003,2024549125.1993957,2024549125.1993957
300250001003,21781034.57735285,21781034.57735285
300859400022,2120481287.271234,2120481287.271234
300859400015,348087.07430918515,348087.07430918515
301059406001,1218670091.0811074,1218670091.0811074
301051001001,4133501624.4113674,4133501624.4113674
301051001002,4656868259.805038,4656868259.805038
301110018043,516085.1187078655,516085.1187078655
300959664001,796112122.8854141,796112122.8854141
300090004002,1470276060.2565832,1470276060.2565832
300850801001,1304266463.0372033,1304266463.0372033
300530001003,386238218.86621594,386238218.86621594
300179613002,3470662590.8981028,3470662590.8981028
300979670002,2154809.2763200104,2154809.2763200104
300930003002,604937.7608538494,604937.7608538494
300010001002,6601688930.473485,6601688930.473485
300490009001,744174.3384843171,744174.3384843171
300290003003,2751267.5767885,2751267.5767885
300179618002,460377.281773299,460377.281773299
301110011001,630770.3230245113,630770.3230245113
301110018032,701755.80350063,701755.80350063
301110018023,1635653.152955532,1635653.152955532
300130003004,327145.0549528152,327145.0549528152
300130016003,628110.431830734,628110.431830734
301110014023,1088689172.4654603,1088689172.4654603
300130002002,675135.289944187,675135.289944187
300930005003,631295.6794127896,631295.6794127896
300490007004,748953.6893955022,748953.6893955022
300739770004,524642.4405425927,524642.4405425927
300130011002,414292.5016506314,414292.5016506314
300930008001,521967902.8505869,521967902.8505869
300130019001,1319113.189585179,1319113.189585179
300770001002,1176259633.7928374,1176259633.7928374
300930007002,957623.2634899318,957623.2634899318
300210003004,1322814.6009375006,1322814.6009375006
300439622022,1171580849.9830859,1171580849.9830859
300130018003,394938.1368696075,394938.1368696075
300439622021,1909539.6324814428,1909539.6324814428
300310007012,540483.6329288855,540483.6329288855
300490011003,1696070.695230648,1696070.695230648
301110007025,1038671.8036207557,1038671.8036207557
300290017006,148516939.0338292,148516939.0338292
301059406003,158324466.01428545,158324466.01428545
300230003003,334416.07889698446,334416.07889698446
300630005001,619073.3292934075,619073.3292934075
300739770003,524829642.2743974,524829642.2743974
300439623001,1513169683.1202853,1513169683.1202853
300810002012,2092304.0570361651,2092304.0570361651
300090002001,360452085.61956906,360452085.61956906
300530002003,852628.3300366588,852628.3300366588
300619645001,762973107.0007443,762973107.0007443
300039405001,1430584241.886626,1430584241.886626
300650001001,2778098800.7019644,2778098800.7019644
300130009001,399166.152131971,399166.152131971
300930002003,489773.82400294486,489773.82400294486
