GEOID,area_total,area_protected
160599703001,3500306364.209424,3500306364.209424
160550004022,2000724.9099105,2000724.9099105
160010003041,1557214.4459483624,1557214.4459483624
160699604002,404087.53030216694,404087.53030216694
160010023132,1343250.973971486,1343250.973971486
160659503021,755616.4818394184,755616.4818394184
160830008005,447294.3713402152,447294.3713402152
160139602004,722787.09923926,722787.09923926
160010008021,374716.6881150454,374716.6881150454
160219702001,1800719447.7024732,1800719447.7024732
160599703003,1606218647.5988486,1606218647.5988486
160659503013,272263.6699408293,272263.6699408293
160830015003,1712299836.3627524,1712299836.3627524
160010012021,683692.5858061314,683692.5858061314
160010004003,301446.4947885722,301446.4947885722
160199708002,282354.79824984074,282354.79824984074
160550005002,2537346.2701734304,2537346.2701734304
160139603002,1020715761.760589,1020715761.760589
160270202002,584771.126614213,584771.126614213
160550011001,5024434.021523356,5024434.021523356
160830013002,3882633.4573755264,3882633.4573755264
160539704002,1018949.7092673182,1018949.7092673182
160199714003,5154037.821580589,5154037.821580589
160010023103,1720061.8590525389,1720061.8590525389
160099501002,1001576.8815939426,1001576.8815939426
160499602005,943337380.8228589,943337380.8228589
160699606001,1700652.5798608065,1700652.5798608065
160779602004,1742234.5887575746,1742234.5887575746
160759601003,16074514.616693676,16074514.616693676
160050007002,483246.4482986927,483246.4482986927
160270204023,377235.4805582762,377235.4805582762
160050010001,861043.4678654671,861043.4678654671
160010001001,709626.4540952742,709626.4540952742
160159502002,994320520.2776624,994320520.2776624
160010012012,734647.6548838615,734647.6548838615
160479601004,1828690.4543753862,1828690.4543753862
160010023102,2625537.432502985,2625537.432502985
160570054004,207515.00067478418,207515.00067478418
160499601002,8452343019.35278,8452343019.35278
160010024111,789791.5952607393,789791.5952607393
160010017001,418768.4529533386,418768.4529533386
160010103353,5245253.372505188,5245253.372505188
160010103352,1139347.485123396,1139347.485123396
160050011021,581041.4719456881,581041.4719456881
160270215005,782337.423668623,782337.423668623
160359701002,1114162932.272645,1114162932.272645
160479601005,3397315.4379770756,3397315.4379770756
160010019001,1577708.9147731662,1577708.9147731662
160010005005,645961.7247578204,645961.7247578204
160459603002,916726.1395115852,916726.1395115852
160439703004,593458.6388323307,593458.6388323307
160010015002,649999.8645573854,649999.8645573854
160119504002,3020861.882917583,3020861.882917583
160699609001,1313712.1763849258,1313712.1763849258
160699609002,960294.7224241495,960294.7224241495
160079501003,413515927.7019706,413515927.7019706
160859702002,186265229.68664026,186265229.68664026
160239701002,716520838.5348768,716520838.5348768
160010102212,2468722.402793646,2468722.402793646
160050007001,2335696.8789308667,2335696.8789308667
160830002003,973645.2892881632,973645.2892881632
160719601003,2084716.1395652294,2084716.1395652294
160619400022,387596935.6144109,387596935.6144109
160179503004,4546237.81948638,4546237.81948638
160039502002,894210500.540699,894210500.540699
160599702002,709430704.766249,709430704.766249
160830010004,326084.19880592823,326084.19880592823
160199711005,344320.62557841046,344320.62557841046
160550014001,897233.7969286442,897233.7969286442
160679703001,1190375054.4700189,1190375054.4700189
160010004004,395969.4256207049,395969.4256207049
160419702002,1152415.9295434952,1152415.9295434952
160199703002,18437034.290089607,18437034.290089607
160799602007,1834504359.6756306,1834504359.6756306
160499601001,7016608270.835497,7016608270.835497
160179506003,451913148.0035095,451913148.0035095
160010009004,826284.1932701911,826284.1932701911
160179502002,214760769.62891006,214760769.62891006
160830004001,5734452.664874554,5734452.664874554
160830013005,3890543.8982043266,3890543.8982043266
160830007003,996040.0552202463,996040.0552202463
160830009001,3638197.605712414,3638197.605712414
160830007005,450987.93943947554,450987.93943947554
160830008003,322914.1699362993,322914.1699362993
160830011003,1270358.8147996068,1270358.8147996068
160139603001,451131907.64139366,451131907.64139366
160830011001,396442.53341925517,396442.53341925517
160359701003,255845482.5671814,255845482.5671814
160479602006,707473.0466682911,707473.0466682911
160799602006,4227619931.0734787,4227619931.0734787
160759602001,2505582.9253884256,2505582.9253884256
160879702002,870348.5444083661,870348.5444083661
160879701001,1000087628.4786085,1000087628.4786085
160550012002,806309.5564985275,806309.5564985275
160550013002,1348364.3386210203,1348364.3386210203
160550006011,4558657.0580435395,4558657.0580435395
160679702002,6344543.427102506,6344543.427102506
160679704002,2483426.66120255,2483426.66120255
160679705003,408319.4185446501,408319.4185446501
160399602001,1287217094.0745125,1287217094.0745125
160399602004,1898624.413872242,1898624.413872242
160439701001,3710208677.8721275,3710208677.8721275
160439702003,290004629.5238092,290004629.5238092
160519603002,2863247.0134382844,2863247.0134382844
160079502002,529237585.14623153,529237585.14623153
160079502003,437672546.64737475,437672546.64737475
160539702001,1069942.9371735752,1069942.9371735752
160539703003,513241.1264618933,513241.1264618933
160199704032,1301429.021785736,1301429.021785736
160199706022,1518177.9953032732,1518177.9953032732
160199708004,437012.6007230878,437012.6007230878
